0	25	103 101 89 75 61 47 33 19 5 4 3 2 1 0 12 26 40 54 68 82 96 97 98 99 100	
1	4	0 1 7 6	
2	4	2 3 9 8	
3	4	4 5 11 10	
4	4	6 13 12 0	
5	6	8 15 14 7 1 2	
6	6	10 17 16 9 3 4	
7	4	19 18 11 5	
8	6	14 21 20 13 6 7	
9	6	16 23 22 15 8 9	
10	6	18 25 24 17 10 11	
11	5	20 27 26 12 13	
12	6	22 29 28 21 14 15	
13	6	24 31 30 23 16 17	
14	5	25 18 19 33 32	
15	6	28 35 34 27 20 21	
16	6	30 37 36 29 22 23	
17	6	32 39 38 31 24 25	
18	5	34 41 40 26 27	
19	6	36 43 42 35 28 29	
20	6	38 45 44 37 30 31	
21	5	39 32 33 47 46	
22	6	42 49 48 41 34 35	
23	6	44 51 50 43 36 37	
24	6	46 53 52 45 38 39	
25	5	48 55 54 40 41	
26	6	50 57 56 49 42 43	
27	6	52 59 58 51 44 45	
28	5	53 46 47 61 60	
29	6	56 63 62 55 48 49	
30	6	58 65 64 57 50 51	
31	6	60 67 66 59 52 53	
32	5	62 69 68 54 55	
33	6	64 71 70 63 56 57	
34	6	66 73 72 65 58 59	
35	5	67 60 61 75 74	
36	6	70 77 76 69 62 63	
37	6	72 79 78 71 64 65	
38	7	88 81 80 73 66 67 74	
39	5	76 83 82 68 69	
40	6	78 85 84 77 70 71	
41	6	80 87 86 79 72 73	
42	5	74 75 89 95 88	
43	6	84 91 90 83 76 77	
44	6	86 93 92 85 78 79	
45	6	94 87 80 81 107 105	
46	4	90 96 82 83	
47	6	92 98 97 91 84 85	
48	6	100 99 93 86 87 94	
49	5	106 104 95 89 101	
50	4	96 90 91 97	
51	4	98 92 93 99	
52	5	105 102 103 100 94	
53	5	81 88 95 104 107	
54	5	102 105 107 104 106	
55	4	106 101 103 102	
